pair_id,source_event_id,user_id,split_name,timestamp,positive_item_id,num_candidates,total_possible_pairs,item_a_id,item_b_id,item_a_title,item_b_title,item_a_popularity_group,item_b_popularity_group,preferred_item_true,preferred_item_pred,non_preferred_item_pred,pair_type,pair_confidence,pair_reason,pair_parse_success,item_a_uncertainty,item_b_uncertainty,item_a_uncertainty_confidence,item_b_uncertainty_confidence,item_a_matched_uncertainty,item_b_matched_uncertainty,pair_uncertainty,pair_reliability_weight,base_rank_item_a,base_rank_item_b,event_mean_uncertainty,event_uncertainty_coverage_rate,uncertainty_source
AE24TNRUVMRDO4MV3TV2HV45OUJA::1642632901120000000::pair::0,AE24TNRUVMRDO4MV3TV2HV45OUJA::1642632901120000000,AE24TNRUVMRDO4MV3TV2HV45OUJA,test,2022-01-19 22:55:01.120,0063076098,6,15,1728214092,0063076098,"Looky Looky Little One On the Farm: A Sweet, Interactive Seek and Find Adventure for Babies and Toddlers (featuring barn animals, tractors, and more!)",The Storyteller: Tales of Life and Music,mid,tail,0063076098,0063076098,1728214092,positive_vs_negative,0.8,"The user's history shows a strong preference for memoirs and books about creative lives, aligning with Dave Grohl's music autobiography.",True,0.15461205946666667,0.15461205946666667,,,False,False,0.15461205946666667,0.8453879405333333,6,1,0.15461205946666667,0.0,pointwise_calibrated
AE2EQO56YQFWI4O773ECXBZWUC5A::1466184375000000000::pair::0,AE2EQO56YQFWI4O773ECXBZWUC5A::1466184375000000000,AE2EQO56YQFWI4O773ECXBZWUC5A,test,2016-06-17 17:26:15.000,B00AWE09Z0,6,15,B00AWE09Z0,0152019383,"Father Martin ""Chalk Talk"" Alcoholics Anonymous Discussion",I Want to Be a Fashion Designer,head,tail,B00AWE09Z0,B00AWE09Z0,0152019383,positive_vs_negative,0.7000000000000001,The user's previous item shares the thematic element of fatherhood.,True,0.06390977440000001,0.0732265446,0.9360902256,0.9267734554,True,True,0.0685681595,0.9314318404999999,6,5,0.15967106916666668,1.0,pointwise_calibrated
AE2K4YVSFVAZLKIPOZZ7AGYH2IGA::1635252852350000000::pair::0,AE2K4YVSFVAZLKIPOZZ7AGYH2IGA::1635252852350000000,AE2K4YVSFVAZLKIPOZZ7AGYH2IGA,test,2021-10-26 12:54:12.350,B00AYJJF4O,6,15,B00AYJJF4O,0876592671,The Change (Unbounded Series Book 1),"The Complete Book of Rhymes, Songs, Poems, Fingerplays, and Chants (Complete Book Series)",head,tail,B00AYJJF4O,B00AYJJF4O,0876592671,positive_vs_negative,0.8,"The user's previous book is a fantasy novel, making the fantasy candidate a better match.",True,0.15461205946666667,0.15461205946666667,,,False,False,0.15461205946666667,0.8453879405333333,1,5,0.15461205946666667,0.0,pointwise_calibrated
AE2LJNUMTAKQXHP5QM4LK53PNOZQ::1562178170235000000::pair::0,AE2LJNUMTAKQXHP5QM4LK53PNOZQ::1562178170235000000,AE2LJNUMTAKQXHP5QM4LK53PNOZQ,test,2019-07-03 18:22:50.235,0528021044,6,15,0528021044,0440193281,Rand McNally 2020 Large Scale Road Atlas,Wilderness: A Novel,tail,tail,0528021044,0440193281,0528021044,positive_vs_negative,0.6000000000000001,"The user's previous book is a gentle, inspirational story, making a novel more likely than a road atlas.",True,0.15461205946666667,0.15461205946666667,,,False,False,0.15461205946666667,0.8453879405333333,6,3,0.15461205946666667,0.0,pointwise_calibrated
AE3267HTZZQWH6RK2M4EFPQFVBSQ::1480103585000000000::pair::0,AE3267HTZZQWH6RK2M4EFPQFVBSQ::1480103585000000000,AE3267HTZZQWH6RK2M4EFPQFVBSQ,test,2016-11-25 19:53:05.000,0991299221,6,15,1846432758,0991299221,Waiting for Baby,The PowerScore LSAT Logical Reasoning Bible,mid,mid,0991299221,0991299221,1846432758,positive_vs_negative,0.6000000000000001,The user's previous interest in a technical guide suggests a stronger match for a detailed test preparation book.,True,0.0732265446,0.1677419355,0.9267734554,0.8322580645000001,True,True,0.12048424005,0.87951575995,3,4,0.14609119445,1.0,pointwise_calibrated
AE35M24I6JTGAPGJ6SPGEQYLD3SQ::1438833022000000000::pair::0,AE35M24I6JTGAPGJ6SPGEQYLD3SQ::1438833022000000000,AE35M24I6JTGAPGJ6SPGEQYLD3SQ,test,2015-08-06 03:50:22.000,1401235425,6,15,1401235425,0060883448,Batman 1: The Court of Owls,Mozart: A Life,mid,tail,1401235425,1401235425,0060883448,positive_vs_negative,0.9,"The user's history shows a strong preference for superhero comics, especially Batman.",True,0.06390977440000001,0.06390977440000001,0.9360902256,0.9360902256,True,True,0.06390977440000001,0.9360902256,1,3,0.06390977440000001,1.0,pointwise_calibrated
AE3ASZJAJKNLNFGB4ER3W4HLEPHQ::1634323278062000000::pair::0,AE3ASZJAJKNLNFGB4ER3W4HLEPHQ::1634323278062000000,AE3ASZJAJKNLNFGB4ER3W4HLEPHQ,test,2021-10-15 18:41:18.062,0593125150,6,15,0593125150,1426214987,There's a Witch in Your Book (Who's In Your Book?),Great Moments in Chocolate History: With 20 Classic Recipes From Around the World,tail,mid,0593125150,0593125150,1426214987,positive_vs_negative,0.6000000000000001,"The user's previous book is a popular adult novel, suggesting a stronger interest in general fiction than in children's books or cookbooks.",True,0.0732265446,0.1677419355,0.9267734554,0.8322580645000001,True,True,0.12048424005,0.87951575995,6,4,0.16339655463333333,1.0,pointwise_calibrated
AE3IHUKVHQZWCESERIHRJWADJQRA::1465656564000000000::pair::0,AE3IHUKVHQZWCESERIHRJWADJQRA::1465656564000000000,AE3IHUKVHQZWCESERIHRJWADJQRA,test,2016-06-11 14:49:24.000,B018KTWEHO,6,15,0452274362,B018KTWEHO,The Basic Darkroom Book: compl GT Processing ptg Color Black White photogs for Beginners thru Experts,On the Run (Lethal in Love Book 1),tail,head,B018KTWEHO,B018KTWEHO,0452274362,positive_vs_negative,0.8,"The user's previous interaction is a romance novel, and candidate B is a romantic thriller.",True,0.06390977440000001,0.2492211838,0.9360902256,0.7507788162,True,True,0.15656547910000002,0.8434345209,6,1,0.15811827413333335,1.0,pointwise_calibrated
AE3KDCFXLWFFI23INVT776VG7DAQ::1600551833137000000::pair::0,AE3KDCFXLWFFI23INVT776VG7DAQ::1600551833137000000,AE3KDCFXLWFFI23INVT776VG7DAQ,test,2020-09-19 21:43:53.137,B07PJKBZDH,6,15,B07PJKBZDH,1402239246,Nine Elms: A Kate Marshall Thriller,"Substituting Ingredients: The A to Z Kitchen Reference (Must-Have Kitchen Essential with 1,000 Easy-to-Find, Healthy, and Cheap Substitutions)",head,mid,B07PJKBZDH,B07PJKBZDH,1402239246,positive_vs_negative,0.8,The user's history shows a strong preference for mystery and thriller novels.,True,0.15461205946666667,0.15461205946666667,,,False,False,0.15461205946666667,0.8453879405333333,1,5,0.15461205946666667,0.0,pointwise_calibrated
AE3TLLY3H6R6L2DLP4PKUQ5R4DRQ::1532528096576000000::pair::0,AE3TLLY3H6R6L2DLP4PKUQ5R4DRQ::1532528096576000000,AE3TLLY3H6R6L2DLP4PKUQ5R4DRQ,test,2018-07-25 14:14:56.576,1426307934,6,15,0982508700,1426307934,Flank Hawk,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),mid,mid,1426307934,1426307934,0982508700,positive_vs_negative,0.8,"The user's history shows a strong preference for children's books, which matches this candidate.",True,0.06390977440000001,0.2492211838,0.9360902256,0.7507788162,True,True,0.15656547910000002,0.8434345209,3,1,0.12723303923333334,1.0,pointwise_calibrated
