user_id,source_event_id,split_name,timestamp,positive_item_id,candidate_item_id,candidate_title,candidate_popularity_group,label,num_candidates,base_rank,base_relevance,wins,losses,comparisons,comparison_weight_sum,pairwise_score,prior_score,final_score,uncertainty,uncertainty_confidence,matched_uncertainty,aggregation_variant,prior_weight,loss_weight,score_scale,pairwise_pair_count,pairwise_pair_coverage_rate,pairwise_supported_candidate_fraction,pairwise_avg_reliability_weight,pairwise_parse_success_rate,pairwise_accuracy,event_uncertainty_coverage_rate,uncertainty_source,pairwise_rank
AE24TNRUVMRDO4MV3TV2HV45OUJA,AE24TNRUVMRDO4MV3TV2HV45OUJA::1642632901120000000,test,2022-01-19 22:55:01.120,0063076098,0063076098,The Storyteller: Tales of Life and Music,tail,1,6,1,1.0,0.8453879405333333,0.0,1,0.8453879405333333,0.8453879405333333,0.2,1.0453879405333333,0.15461205946666667,,False,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.8453879405333333,1.0,1.0,0.0,pointwise_calibrated,1
AE24TNRUVMRDO4MV3TV2HV45OUJA,AE24TNRUVMRDO4MV3TV2HV45OUJA::1642632901120000000,test,2022-01-19 22:55:01.120,0063076098,1513800272,"Simple Pleasures: Stories from My Life as an Amish Mother (Plainspoken, Book Four)",mid,0,6,2,0.8333333333333334,0.0,0.0,0,0.0,0.0,0.16666666666666669,0.16666666666666669,,,False,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.8453879405333333,1.0,1.0,0.0,pointwise_calibrated,2
AE24TNRUVMRDO4MV3TV2HV45OUJA,AE24TNRUVMRDO4MV3TV2HV45OUJA::1642632901120000000,test,2022-01-19 22:55:01.120,0063076098,1479197009,"Backyard Chickens for Beginners: Getting the Best Chickens, Choosing Coops, Feeding and Care, and Beating City Chicken Laws",mid,0,6,3,0.6666666666666666,0.0,0.0,0,0.0,0.0,0.13333333333333333,0.13333333333333333,,,False,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.8453879405333333,1.0,1.0,0.0,pointwise_calibrated,3
AE24TNRUVMRDO4MV3TV2HV45OUJA,AE24TNRUVMRDO4MV3TV2HV45OUJA::1642632901120000000,test,2022-01-19 22:55:01.120,0063076098,0374185727,Liarmouth: A Feel-Bad Romance: A Novel,tail,0,6,4,0.5,0.0,0.0,0,0.0,0.0,0.1,0.1,,,False,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.8453879405333333,1.0,1.0,0.0,pointwise_calibrated,4
AE24TNRUVMRDO4MV3TV2HV45OUJA,AE24TNRUVMRDO4MV3TV2HV45OUJA::1642632901120000000,test,2022-01-19 22:55:01.120,0063076098,014144102X,The Island of Dr Moreau,tail,0,6,5,0.3333333333333333,0.0,0.0,0,0.0,0.0,0.06666666666666667,0.06666666666666667,,,False,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.8453879405333333,1.0,1.0,0.0,pointwise_calibrated,5
AE24TNRUVMRDO4MV3TV2HV45OUJA,AE24TNRUVMRDO4MV3TV2HV45OUJA::1642632901120000000,test,2022-01-19 22:55:01.120,0063076098,1728214092,"Looky Looky Little One On the Farm: A Sweet, Interactive Seek and Find Adventure for Babies and Toddlers (featuring barn animals, tractors, and more!)",mid,0,6,6,0.16666666666666666,0.0,0.8453879405333333,1,0.8453879405333333,-0.8453879405333333,0.03333333333333333,-0.8120546072,0.15461205946666667,,False,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.8453879405333333,1.0,1.0,0.0,pointwise_calibrated,6
AE2EQO56YQFWI4O773ECXBZWUC5A,AE2EQO56YQFWI4O773ECXBZWUC5A::1466184375000000000,test,2016-06-17 17:26:15.000,B00AWE09Z0,B00AWE09Z0,"Father Martin ""Chalk Talk"" Alcoholics Anonymous Discussion",head,1,6,6,0.16666666666666666,0.9314318404999999,0.0,1,0.9314318404999999,0.9314318404999999,0.03333333333333333,0.9647651738333333,0.06390977440000001,0.9360902256,True,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.9314318404999999,1.0,1.0,1.0,pointwise_calibrated,1
AE2EQO56YQFWI4O773ECXBZWUC5A,AE2EQO56YQFWI4O773ECXBZWUC5A::1466184375000000000,test,2016-06-17 17:26:15.000,B00AWE09Z0,0316349933,"Career of Evil (A Cormoran Strike Novel, 3)",tail,0,6,1,1.0,0.0,0.0,0,0.0,0.0,0.2,0.2,,,False,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.9314318404999999,1.0,1.0,1.0,pointwise_calibrated,2
AE2EQO56YQFWI4O773ECXBZWUC5A,AE2EQO56YQFWI4O773ECXBZWUC5A::1466184375000000000,test,2016-06-17 17:26:15.000,B00AWE09Z0,B00FO5YFUW,Cop Town: A Novel,head,0,6,2,0.8333333333333334,0.0,0.0,0,0.0,0.0,0.16666666666666669,0.16666666666666669,,,False,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.9314318404999999,1.0,1.0,1.0,pointwise_calibrated,3
AE2EQO56YQFWI4O773ECXBZWUC5A,AE2EQO56YQFWI4O773ECXBZWUC5A::1466184375000000000,test,2016-06-17 17:26:15.000,B00AWE09Z0,1477690727,VU Vampire University - Book One in the Vampire University series,mid,0,6,3,0.6666666666666666,0.0,0.0,0,0.0,0.0,0.13333333333333333,0.13333333333333333,,,False,weighted_win_count,0.2,1.0,1.0,1,0.06666666666666667,0.3333333333333333,0.9314318404999999,1.0,1.0,1.0,pointwise_calibrated,4
